,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
409,11,6,503,0021600457,Jefferson T.FOUL (P2.T2) (S.Corbin),,9:20,4,4.0,0,1,2210,Richard Jefferson,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,4:46 PM
410,16,3,504,0021600457,,,9:20,4,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,95 - 82,-13,Durant Free Throw Technical (34 PTS),4:47 PM
411,79,2,506,0021600457,,,9:05,4,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,MISS Durant 13' Pullup Jump Shot,4:47 PM
412,0,4,507,0021600457,CAVALIERS Rebound,,9:05,4,2.0,0,0,1610612739,,,,,,0,,,,,,0,,,,,,,,,4:47 PM
413,1,2,508,0021600457,MISS Jefferson  3PT Jump Shot,,8:43,4,4.0,0,0,2210,Richard Jefferson,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,4:48 PM
414,0,4,509,0021600457,,,8:42,4,5.0,0,0,2738,Andre Iguodala,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Iguodala REBOUND (Off:1 Def:2),4:48 PM
415,1,6,510,0021600457,Jefferson P.FOUL (P3.T3) (S.Corbin),,8:36,4,4.0,5,1,2210,Richard Jefferson,CLE,Cleveland,1610612739.0,Cavaliers,2561,David West,GSW,Golden State,1610612744.0,Warriors,0,,,,,,,,,4:48 PM
416,45,5,511,0021600457,,,8:29,4,5.0,0,0,2561,David West,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,West Out of Bounds - Bad Pass Turnover Turnover (P1.T15),4:48 PM
417,1,2,512,0021600457,MISS Irving 26' 3PT Jump Shot,,8:17,4,4.0,0,0,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,4:49 PM
418,0,4,513,0021600457,Shumpert REBOUND (Off:3 Def:1),,8:17,4,4.0,0,0,202697,Iman Shumpert,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,4:49 PM
419,7,1,514,0021600457,Love  Dunk (20 PTS) (Shumpert 1 AST),,8:14,4,4.0,4,0,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,202697,Iman Shumpert,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,95 - 84,-11,,4:49 PM
420,101,2,515,0021600457,,,7:57,4,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,MISS Durant 11' Driving Floating Jump Shot,4:49 PM
421,0,4,516,0021600457,Jefferson REBOUND (Off:0 Def:2),,7:55,4,4.0,0,0,2210,Richard Jefferson,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,4:49 PM
